cik,name,sic,moodys_methodology,sp_sector,methodology_confidence,methodology_source,is_financial,notes,classifier_commit
0000006951,APPLIED MATERIALS INC /DE,3674,Semiconductors,Technology Hardware And Semiconductors,high,sic_table,False,,ed5ae6973ecf46bfca236a0a88676a3e6396594c
0000006955,ENERPAC TOOL GROUP CORP,3590,Manufacturing,Capital Goods,medium,sic_table,False,,ed5ae6973ecf46bfca236a0a88676a3e6396594c
0000007084,Archer-Daniels-Midland Co,2070,Consumer Packaged Goods,Consumer Staples And Branded Nondurables,medium,sic_table,False,,ed5ae6973ecf46bfca236a0a88676a3e6396594c
0000007332,SOUTHWESTERN ENERGY CO,1311,Independent Exploration and Production,Oil And Gas Exploration And Production,high,sic_table,False,,ed5ae6973ecf46bfca236a0a88676a3e6396594c
0000007431,ARMSTRONG WORLD INDUSTRIES INC,3089,Chemicals,Specialty Chemicals,high,sic_table,False,,ed5ae6973ecf46bfca236a0a88676a3e6396594c
0000007536,"ARROW ELECTRONICS, INC.",5065,Distribution and Supply Chain Services,Business And Consumer Services,medium,sic_table,False,,ed5ae6973ecf46bfca236a0a88676a3e6396594c
0000007789,ASSOCIATED BANC-CORP,6022,Banks,Banks (Financial Institutions criteria),medium,sic_table,True,Financial-sector issuer (SIC 60–67): industrial corporate scorecard does not apply; route to the FIG/Insurance framework.,ed5ae6973ecf46bfca236a0a88676a3e6396594c
0000008063,ASTRONICS CORP,3728,Aerospace and Defense,Aerospace And Defense,high,sic_table,False,,ed5ae6973ecf46bfca236a0a88676a3e6396594c
0000008670,AUTOMATIC DATA PROCESSING INC,7374,Software,Technology Software And Services,high,sic_table,False,,ed5ae6973ecf46bfca236a0a88676a3e6396594c
0000008818,Avery Dennison Corp,2670,Paper and Forest Products,Forest And Paper Products,medium,sic_table,False,,ed5ae6973ecf46bfca236a0a88676a3e6396594c
0000008858,AVNET INC,5065,Distribution and Supply Chain Services,Business And Consumer Services,medium,sic_table,False,,ed5ae6973ecf46bfca236a0a88676a3e6396594c
0000008947,AZZ INC,3470,Manufacturing,Capital Goods,medium,sic_table,False,,ed5ae6973ecf46bfca236a0a88676a3e6396594c
0000009326,BALCHEM CORP,2800,Chemicals,Commodity Chemicals,medium,sic_table,False,,ed5ae6973ecf46bfca236a0a88676a3e6396594c
0000009389,BALL Corp,3411,Packaging Manufacturers,Containers And Packaging,high,sic_table,False,,ed5ae6973ecf46bfca236a0a88676a3e6396594c
0000010456,BAXTER INTERNATIONAL INC,3841,Medical Products and Devices,Health Care Equipment,high,sic_table,False,,ed5ae6973ecf46bfca236a0a88676a3e6396594c
0000010795,BECTON DICKINSON & CO,3841,Medical Products and Devices,Health Care Equipment,high,sic_table,False,,ed5ae6973ecf46bfca236a0a88676a3e6396594c
0000011544,BERKLEY W R CORP,6331,Insurers,Insurers (Insurance criteria),medium,sic_table,True,Financial-sector issuer (SIC 60–67): industrial corporate scorecard does not apply; route to the FIG/Insurance framework.,ed5ae6973ecf46bfca236a0a88676a3e6396594c
0000012208,"BIO-RAD LABORATORIES, INC.",3826,Diversified Technology,Technology Hardware And Semiconductors,high,sic_table,False,,ed5ae6973ecf46bfca236a0a88676a3e6396594c
0000012659,H&R BLOCK INC,7200,Business and Consumer Services,Business And Consumer Services,medium,sic_table,False,,ed5ae6973ecf46bfca236a0a88676a3e6396594c
0000012927,BOEING CO,3721,Aerospace and Defense,Aerospace And Defense,high,sic_table,False,,ed5ae6973ecf46bfca236a0a88676a3e6396594c
0000013372,NSTAR ELECTRIC CO,4911,Regulated Electric and Gas Utilities,Regulated Utilities,high,sic_table,False,,ed5ae6973ecf46bfca236a0a88676a3e6396594c
0000014272,BRISTOL MYERS SQUIBB CO,2834,Pharmaceuticals,Pharmaceuticals,high,sic_table,False,,ed5ae6973ecf46bfca236a0a88676a3e6396594c
0000014707,CALERES INC,3140,Retail and Apparel,Consumer Durables,medium,sic_table,False,,ed5ae6973ecf46bfca236a0a88676a3e6396594c
0000014846,BRT Apartments Corp.,6798,REITs and Other Commercial Real Estate Firms,Homebuilders And Real Estate Developers,high,sic_table,True,Financial-sector issuer (SIC 60–67): industrial corporate scorecard does not apply; route to the FIG/Insurance framework.,ed5ae6973ecf46bfca236a0a88676a3e6396594c
0000014930,BRUNSWICK CORP,3510,Manufacturing,Capital Goods,medium,sic_table,False,,ed5ae6973ecf46bfca236a0a88676a3e6396594c
0000015615,MASTEC INC,1623,Construction,Engineering And Construction,medium,sic_table,False,,ed5ae6973ecf46bfca236a0a88676a3e6396594c
0000016040,CABOT CORP,2890,Chemicals,Specialty Chemicals,high,sic_table,False,,ed5ae6973ecf46bfca236a0a88676a3e6396594c
0000016058,CACI INTERNATIONAL INC /DE/,7373,Business and Consumer Services,Business And Consumer Services,medium,sic_table,False,,ed5ae6973ecf46bfca236a0a88676a3e6396594c
0000016732,CAMPBELL'S Co,2000,Consumer Packaged Goods,Consumer Staples And Branded Nondurables,medium,sic_table,False,,ed5ae6973ecf46bfca236a0a88676a3e6396594c
0000016875,CANADIAN PACIFIC KANSAS CITY LTD/CN,4011,Surface Transportation and Logistics,"Railroad, Package Express, And Logistics",medium,sic_table,False,,ed5ae6973ecf46bfca236a0a88676a3e6396594c
0000016918,"CONSTELLATION BRANDS, INC.",2080,Soft Beverages,Consumer Staples And Branded Nondurables,high,sic_table,False,,ed5ae6973ecf46bfca236a0a88676a3e6396594c
0000017313,CAPITAL SOUTHWEST CORP,,Finance Companies,Financial Services Finance Companies,low,llm_fallback,False,Ambiguous SIC; classified by LLM from business description,ed5ae6973ecf46bfca236a0a88676a3e6396594c
0000017843,CARPENTER TECHNOLOGY CORP,3312,Steel,Metals Production And Processing,high,sic_table,False,,ed5ae6973ecf46bfca236a0a88676a3e6396594c
0000018230,CATERPILLAR INC,3531,Manufacturing,Capital Goods,medium,sic_table,False,,ed5ae6973ecf46bfca236a0a88676a3e6396594c
0000018498,GENESCO INC,5661,Retail and Apparel,Retail And Restaurants,medium,sic_table,False,,ed5ae6973ecf46bfca236a0a88676a3e6396594c
0000018926,"Lumen Technologies, Inc.",4813,Telecommunications Service Providers,Telecommunications,high,sic_table,False,,ed5ae6973ecf46bfca236a0a88676a3e6396594c
0000019584,CHEMED CORP,8082,Business and Consumer Services,Health Care Services,medium,sic_table,False,,ed5ae6973ecf46bfca236a0a88676a3e6396594c
0000019617,JPMORGAN CHASE & CO,6021,Banks,Banks (Financial Institutions criteria),medium,sic_table,True,Financial-sector issuer (SIC 60–67): industrial corporate scorecard does not apply; route to the FIG/Insurance framework.,ed5ae6973ecf46bfca236a0a88676a3e6396594c
0000019745,CHESAPEAKE UTILITIES CORP,4923,Natural Gas Pipelines,Midstream Energy,high,sic_table,False,,ed5ae6973ecf46bfca236a0a88676a3e6396594c
0000020212,Churchill Downs Inc,7948,Gaming,Leisure And Sports,medium,sic_table,False,,ed5ae6973ecf46bfca236a0a88676a3e6396594c
0000020286,CINCINNATI FINANCIAL CORP,6331,Insurers,Insurers (Insurance criteria),medium,sic_table,True,Financial-sector issuer (SIC 60–67): industrial corporate scorecard does not apply; route to the FIG/Insurance framework.,ed5ae6973ecf46bfca236a0a88676a3e6396594c
0000020520,"Frontier Communications Parent, Inc.",4813,Telecommunications Service Providers,Telecommunications,high,sic_table,False,,ed5ae6973ecf46bfca236a0a88676a3e6396594c
0000021344,COCA COLA CO,2080,Soft Beverages,Consumer Staples And Branded Nondurables,high,sic_table,False,,ed5ae6973ecf46bfca236a0a88676a3e6396594c
0000021535,COHU INC,3825,Diversified Technology,Technology Hardware And Semiconductors,high,sic_table,False,,ed5ae6973ecf46bfca236a0a88676a3e6396594c
0000022356,COMMERCE BANCSHARES INC /MO/,6022,Banks,Banks (Financial Institutions criteria),medium,sic_table,True,Financial-sector issuer (SIC 60–67): industrial corporate scorecard does not apply; route to the FIG/Insurance framework.,ed5ae6973ecf46bfca236a0a88676a3e6396594c
0000022444,COMMERCIAL METALS Co,3312,Steel,Metals Production And Processing,high,sic_table,False,,ed5ae6973ecf46bfca236a0a88676a3e6396594c
0000023194,COMSTOCK RESOURCES INC,1311,Independent Exploration and Production,Oil And Gas Exploration And Production,high,sic_table,False,,ed5ae6973ecf46bfca236a0a88676a3e6396594c
0000023197,COMTECH TELECOMMUNICATIONS CORP /DE/,3663,Diversified Technology,Technology Hardware And Semiconductors,medium,sic_table,False,,ed5ae6973ecf46bfca236a0a88676a3e6396594c
0000023217,CONAGRA BRANDS INC.,2000,Consumer Packaged Goods,Consumer Staples And Branded Nondurables,medium,sic_table,False,,ed5ae6973ecf46bfca236a0a88676a3e6396594c
0000023795,"CTO Realty Growth, Inc.",6798,REITs and Other Commercial Real Estate Firms,Homebuilders And Real Estate Developers,high,sic_table,True,Financial-sector issuer (SIC 60–67): industrial corporate scorecard does not apply; route to the FIG/Insurance framework.,ed5ae6973ecf46bfca236a0a88676a3e6396594c
0000024741,CORNING INC /NY,3357,Steel,Metals Production And Processing,medium,sic_table,False,,ed5ae6973ecf46bfca236a0a88676a3e6396594c
0000025232,COUSINS PROPERTIES INC,6798,REITs and Other Commercial Real Estate Firms,Homebuilders And Real Estate Developers,high,sic_table,True,Financial-sector issuer (SIC 60–67): industrial corporate scorecard does not apply; route to the FIG/Insurance framework.,ed5ae6973ecf46bfca236a0a88676a3e6396594c
0000025445,"Crane NXT, Co.",3490,Manufacturing,Capital Goods,medium,sic_table,False,,ed5ae6973ecf46bfca236a0a88676a3e6396594c
0000026172,CUMMINS INC,3510,Manufacturing,Capital Goods,medium,sic_table,False,,ed5ae6973ecf46bfca236a0a88676a3e6396594c
0000026324,CURTISS WRIGHT CORP,3590,Manufacturing,Capital Goods,medium,sic_table,False,,ed5ae6973ecf46bfca236a0a88676a3e6396594c
0000026780,DANA Inc,3714,Automotive Suppliers,Auto Suppliers,high,sic_table,False,,ed5ae6973ecf46bfca236a0a88676a3e6396594c
0000027419,TARGET CORP,5331,Retail and Apparel,Retail And Restaurants,medium,sic_table,False,,ed5ae6973ecf46bfca236a0a88676a3e6396594c
0000027904,"DELTA AIR LINES, INC.",4512,Passenger Airlines,Transportation Cyclical,medium,sic_table,False,,ed5ae6973ecf46bfca236a0a88676a3e6396594c
0000027996,DELUXE CORP,2780,Media,Media And Entertainment,medium,sic_table,False,,ed5ae6973ecf46bfca236a0a88676a3e6396594c
0000028917,"DILLARD'S, INC.",5311,Retail and Apparel,Retail And Restaurants,medium,sic_table,False,,ed5ae6973ecf46bfca236a0a88676a3e6396594c
